,quote
278,"“The Road Not TakenTwo roads diverged in a yellow wood,And sorry I could not travel both	And be one traveler, long I stood	And looked down one as far as I could	To where it bent in the undergrowth;	  Then took the other, as just as fair,	And having perhaps the better claim,	Because it was grassy and wanted wear;	Though as for that the passing there	Had worn them really about the same,	  And both that morning equally lay	In leaves no step had trodden black.	Oh, I kept the first for another day!	Yet knowing how way leads on to way,	I doubted if I should ever come back.	  I shall be telling this with a sigh	Somewhere ages and ages hence:	Two roads diverged in a wood, and Iâ€”	I took the one less traveled by,	And that has made all the difference.”"
279,"“And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.”"
280,"“So we beat on, boats against the current, borne back ceaselessly into the past.”"
281,“I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.”
282,"“Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.”"
283,"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”"
284,“It's far better to be unhappy alone than unhappy with someone â€” so far.”
285,“There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.”
286,“I am not pretty. I am not beautiful. I am as radiant as the sun.”
287,“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”
288,"“If you don't know where you're going, any road'll take you there”"
289,"“Let me tell you this: if you meet a loner, no matter what they tell you, it's not because they enjoy solitude. It's because they have tried to blend into the world before, and people continue to disappoint them.”"
290,“You can love someone so much...But you can never love people as much as you can miss them.”
291,“In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you.”
292,"“Nothing is impossible, the word itself says 'I'm possible'!”"
293,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”"
294,“You don't have to burn books to destroy a culture. Just get people to stop reading them.”
295,“There is only one thing that makes a dream impossible to achieve: the fear of failure.”
296,“We love the things we love for what they are.”
297,“Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.”
298,"“Perhaps all the dragons in our lives are princesses who are only waiting to see us act, just once, with beauty and courage. Perhaps everything that frightens us is, in its deepest essence, something helpless that wants our love.”"
